Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Excursion s3,Time,R_00,R_01,R_10,R_11
29.0,1.7492394142787915,9.969619240492674,1.7289735747900439,9.996176473298581,22.69596190012143,106.42985209357403,23.028171201037633,106.18078015087886,-10.980392156862745,-65.09803921568627,493.80763420662834,1.726115,-2.0972084486659273,0.0,0.0,-1.6310902974984405
30.0,1.7320508075688774,10.0,1.731738475609538,10.002767913582893,23.03830364540564,106.12762021316077,23.06159620850846,106.09641231162719,-10.980392156862745,-65.09803921568627,493.5704378720341,0.013016,-2.100252511846306,0.0,0.0,-1.6297942855099359
31.0,1.7143346014042247,10.030076149820108,1.6943648981256008,10.019388532295949,23.381050108149037,105.82887206045494,23.42460808492581,106.00945635938132,-11.137254901960784,-65.09803921568627,494.3116496923027,0.011986,-2.1032658667803106,0.0,0.0,-1.6284585163639902
32.0,1.696096192312852,10.05983852846641,1.6975376804849454,10.026322358403883,23.724116580152597,105.5336747627065,23.45781630148473,105.91993892953172,-11.137254901960784,-65.09803921568627,494.0532046225811,0.012016,-2.1062475904502134,0.0,0.0,-1.6270833992187104
33.0,1.677341135890848,10.089278070030055,1.630016825518247,10.104723960854159,24.067419507154135,105.24209485329408,24.483225246276817,105.19037004784327,-11.6078431372549,-64.70588235294117,494.2111559302035,3.07717,-2.1091967695272262,0.0,0.0,-1.6256693552848507
34.0,1.6580751451100832,10.118385806941493,1.6333967439504846,10.111967353383825,24.410876472500703,104.95419826226525,24.51707059579506,105.096382321557,-11.6078431372549,-64.70588235294117,493.9367410736132,0.010976,-2.112112500651264,0.0,0.0,-1.6242168176967902
35.0,1.6383040885779836,10.147152872702092,1.6370272937180612,10.119357567990598,24.754406181543438,104.67005030594537,24.550517319586834,104.99993261869692,-11.6078431372549,-64.70588235294117,493.6512824335482,0.013002,-2.11499389070765,0.0,0.0,-1.6227262313798616
36.0,1.618033988749895,10.175570504584947,1.5675759479360276,10.197294673011232,25.097928446752622,104.389715675633,25.580185787725924,104.26528654035552,-12.07843137254902,-64.31372549019608,493.8017035245998,1.811114,-2.1178400571006852,0.0,0.0,-1.6211980529140644
37.0,1.5972710200945857,10.203630046304097,1.5714080516195783,10.204974283707646,25.441364173547903,104.11325842540413,25.61412703652512,104.16461610378462,-12.07843137254902,-64.31372549019608,493.50084552471384,0.012,-2.1206501280239953,0.0,0.0,-1.619632750394212
38.0,1.5760215072134438,10.231322950651316,1.5754895131052482,10.21279213844333,25.78463534683769,103.84074195904645,25.647621912160506,104.06158891725264,-12.07843137254902,-64.31372549019608,493.18922140549205,0.016987,-2.1234232427275743,0.0,0.0,-1.6180308032865502
39.0,1.5542919229139418,10.258640782099675,1.537761807528705,10.229818699175299,26.127665018259417,103.57222901614766,26.01417522179641,103.95623653891373,-12.235294117647058,-64.31372549019608,493.86747182104415,8.543478,-2.1261585517814376,0.0,0.0,-1.6163927022818902
40.0,1.532088886237956,10.28557521937308,1.5083795724319242,10.29826877457386,26.470377294110488,103.30778165736245,26.715045864606267,103.21536812183743,-12.549019607843135,-63.92156862745098,493.0066100811685,21.083195,-2.128855217335812,0.0,0.0,-1.6147189491453096
41.0,1.509419160445544,10.312118057981014,1.5129063298432772,10.306484378460024,26.81269732395876,103.04746124888428,26.748391069838757,103.10613302732534,-12.549019607843135,-63.92156862745098,492.66970531881765,0.031005,-2.1315124133777763,0.0,0.0,-1.6130100565624517
42.0,1.4862896509547885,10.338261212717716,1.5176806369790592,10.314825849586882,27.154551289919166,102.79132844615005,26.781230757449713,102.9946852239788,-12.549019607843135,-63.92156862745098,492.32243316826435,0.01202,-2.1341293259842744,0.0,0.0,-1.6112665479824906
