Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Excursion s3,Time,R_00,R_01,R_10,R_11
20.0,1.8793852415718169,9.684040286651337,1.9462064470141116,9.607346541072506,19.64766970231181,109.29534606603882,18.617280608176426,109.9405641888341,-9.0,-67.0,495.6140985798657,23.769402,-2.068586734241825,0.0,0.0,-1.640903943116927
21.0,1.8671608529944035,9.716735899090601,1.893615471523245,9.676755844114771,19.982357715976125,108.96487591962436,19.499898158283937,109.33214066157906,-9.411764705882376,-66.66666666666669,495.82825712116806,6.463381,-2.071864179317663,0.0,0.0,-1.6399821099236855
22.0,1.8543677091335748,9.749213186831824,1.8408419269971015,9.79358934295806,20.31826779654316,108.6372597092439,20.75119611748797,108.17514833074769,-10.0,-66.0,494.95418167545466,18.347071,-2.0751196117487973,0.0,0.0,-1.6390173989507226
23.0,1.8410097069048807,9.781462256978548,1.8424250531379815,9.799001025739692,20.65530399798227,108.31256964327595,20.783520343669835,108.10866697604746,-10.0,-66.0,494.78522893519937,0.01,-2.0783520343669837,0.0,0.0,-1.6380101056976888
24.0,1.8270909152852017,9.8134732861516,1.84426375768746,9.804585949047603,20.9933717069774,107.99087737677279,20.815604570520918,108.03939555469964,-10.0,-66.0,494.6043959303613,0.007013,-2.081560457052092,0.0,0.0,-1.6369605387075703
25.0,1.8126155740732999,9.845236523481399,1.8463579037795448,9.810341935391866,21.332377620360106,107.67225401107729,20.847438970353863,107.96735528516383,-10.0,-66.0,494.41173805171695,0.007013,-2.0847438970353864,0.0,0.0,-1.6358690194721792
26.0,1.797588092598334,9.876742293578154,1.8487073066569808,9.816266717931574,21.67222972318059,107.35677009238363,20.87901379200558,107.89256823402279,-10.0,-66.0,494.2073143121079,0.004998,-2.087901379200558,0.0,0.0,-1.6347358823336786
27.0,1.7820130483767358,9.907980999479093,1.9233630671325797,9.931265608065138,22.012837267437362,107.04449560925121,21.320325625859923,106.34164892056468,-10.19607843137257,-65.09803921568627,489.3275725598385,15.27384,-2.0910319363824112,0.0,0.0,-1.6335614743821685
28.0,1.765895185717854,9.938943125571782,1.7264616298497133,9.989743931246434,22.354110751483123,106.73549998908214,22.994419243359726,106.26253403450805,-10.980392156862763,-65.09803921568627,494.0333938681114,0.016996,-2.0941346096631146,0.0,0.0,-1.6323461553493708
29.0,1.7492394142787915,9.969619240492674,1.7289735747900377,9.996176473298581,22.69596190012143,106.42985209357403,23.02817120103767,106.18078015087886,-10.980392156862763,-65.09803921568627,493.80763420662845,0.005001,-2.0972084486659273,0.0,0.0,-1.6310902974984405
30.0,1.7320508075688774,10.0,1.731738475609533,10.002767913582893,23.03830364540564,106.12762021316077,23.061596208508497,106.09641231162719,-10.980392156862763,-65.09803921568627,493.5704378720343,0.006012,-2.100252511846306,0.0,0.0,-1.6297942855099359
31.0,1.7143346014042247,10.030076149820108,1.7347560561526238,10.009515618141517,23.381050108149037,105.82887206045494,23.094684027391683,106.00945635938132,-10.980392156862763,-65.09803921568627,493.3218775197003,0.007,-2.1032658667803106,0.0,0.0,-1.6284585163639902
32.0,1.696096192312852,10.05983852846641,1.7380259894890306,10.01641687193208,23.724116580152597,105.5336747627065,23.127424522590616,105.91993892953172,-10.980392156862763,-65.09803921568627,493.06202928589875,0.005986,-2.1062475904502134,0.0,0.0,-1.6270833992187104
33.0,1.677341135890848,10.089278070030055,1.5380651713480424,10.070817471798032,24.067419507154135,105.24209485329408,24.81407964149681,105.82788744207262,-11.764705882352956,-65.09803921568627,497.7537886927809,0.008999,-2.1091967695272262,0.0,0.0,-1.6256693552848507
34.0,1.6580751451100832,10.118385806941493,1.5413466892200685,10.078184820585731,24.410876472500703,104.95419826226525,24.84838236060314,105.73333009320281,-11.764705882352956,-65.09803921568627,497.47846745462067,0.007015,-2.112112500651264,0.0,0.0,-1.6242168176967902
35.0,1.6383040885779836,10.147152872702092,1.5448777108473726,10.085703856174515,24.754406181543438,104.67005030594537,24.882281067148856,105.63629584668902,-11.764705882352956,-65.09803921568627,497.1920265882027,0.008017,-2.11499389070765,0.0,0.0,-1.6227262313798616
36.0,1.618033988749895,10.175570504584947,1.6295769985915554,10.226544577763764,25.097928446752622,104.389715675633,25.414080685208223,103.75667538650012,-12.0,-64.0,491.26894360162515,2.508133,-2.1178400571006852,0.0,0.0,-1.6211980529140644
37.0,1.5972710200945857,10.203630046304097,1.6334586370356856,10.234126388787232,25.441364173547903,104.11325842540413,25.447801536287944,103.65649602522957,-12.0,-64.0,490.96938870978215,0.006986,-2.1206501280239953,0.0,0.0,-1.619632750394212
38.0,1.5760215072134438,10.231322950651316,1.63759030675525,10.241843047341487,25.78463534683769,103.84074195904645,25.481078912730894,103.55397141033922,-12.0,-64.0,490.65912237954956,0.005002,-2.1234232427275743,0.0,0.0,-1.6180308032865502
39.0,1.5542919229139418,10.258640782099675,1.6419714730883728,10.249691398318028,26.127665018259417,103.57222901614766,25.51390262137725,103.44913294604098,-12.0,-64.0,490.33823964829566,0.005998,-2.1261585517814376,0.0,0.0,-1.6163927022818902
40.0,1.532088886237956,10.28557521937308,1.6466015446534645,10.257668218898395,26.470377294110488,103.30778165736245,25.546262608029746,103.34201274529981,-12.0,-64.0,490.00683880528845,0.006001,-2.128855217335812,0.0,0.0,-1.6147189491453096
41.0,1.509419160445544,10.312118057981014,1.4622903506657163,10.263754757201156,26.81269732395876,103.04746124888428,26.74839106983879,103.73868599068317,-12.54901960784315,-64.31372549019608,495.199917172249,0.017988,-2.1315124133777763,0.0,0.0,-1.6130100565624517
42.0,1.4862896509547885,10.338261212717716,1.4670606011776561,10.272212125214084,27.154551289919166,102.79132844615005,26.781230757449745,103.62655445848175,-12.54901960784315,-64.31372549019608,494.84991010627624,0.006,-2.1341293259842744,0.0,0.0,-1.6112665479824906
43.0,1.462707403238341,10.363996720124996,1.389308981965601,10.339238016782232,27.495866396582063,102.53944317680605,27.777166996428594,103.00729327729864,-13.0,-64.0,495.36067409848033,6.694395,-2.1367051535714303,0.0,0.0,-1.6094889574577913
44.0,1.4386796006773024,10.389316740917995,1.3942834019633947,10.347960472965557,27.83657086157725,102.29186462296636,27.810108392821025,102.89138108674081,-13.0,-64.0,494.9958495254263,0.005989,-2.139239107140079,0.0,0.0,-1.6076778294803251
45.0,1.4142135623730951,10.414213562373096,1.3995032594707064,10.356802828546298,28.176593906756246,102.04865120279506,27.842495336726767,102.77335800415267,-13.0,-64.0,494.62091802679095,0.005,-2.1417304105174435,0.0,0.0,-1.6058337188148855
46.0,1.3893167409179945,10.438679600677302,1.5341486405105558,10.473106965359696,28.515865749974164,101.80986055144622,27.874317907733502,101.04930299073723,-13.0,-63.0,487.82016568614944,2.469144,-2.1441783005948847,0.0,0.0,-1.6039571903291625
47.0,1.363996720124997,10.46270740323834,1.3782552481314867,10.44343470997382,28.854317597451264,101.57554950139573,28.621093700821987,101.77721907802184,-13.333333333333343,-63.529411764705884,492.97215741455335,0.011,-2.1465820275616476,0.0,0.0,-1.6020488188207143
48.0,1.3382612127177165,10.486289650954788,1.3840006500665072,10.452547981285228,29.191881636692965,101.34577406220221,28.652544735127158,101.65399552636332,-13.333333333333343,-63.529411764705884,492.5736163108347,0.005016,-2.1489408551345353,0.0,0.0,-1.600109188840904
49.0,1.3121180579810146,10.509419160445544,1.389989427664787,10.461765603188162,29.528491029946235,101.12058939973349,28.68338747711254,101.52882388688904,-13.333333333333343,-63.529411764705884,492.16545797889376,0.007009,-2.151254060783439,0.0,0.0,-1.598138894515846
50.0,1.2855752193730787,10.532088886237956,1.2752493983903008,10.561924014145585,29.86407990816859,100.9000498148992,30.149293103337193,100.55672797995838,-14.0,-63.0,492.67479122984514,0.642054,-2.1535209359526566,0.0,0.0,-1.5961385393644187
51.0,1.258640782099675,10.554291922913942,1.2813040349500548,10.571342306213939,30.198583365485902,100.68420872192817,30.18037100789099,100.42885037514442,-14.0,-63.0,492.25651452425063,0.007023,-2.155740786277928,0.0,0.0,-1.5941087361134034
52.0,1.2313229506513166,10.576021507213444,1.2876012461201487,10.580855240416593,30.531937454112832,100.47311862623424,30.210781045187762,100.29915671011726,-14.0,-63.0,491.82896997603234,0.004984,-2.157912931799126,0.0,0.0,-1.5920501065097978
53.0,1.2036300463040968,10.597271020094585,1.294140050425387,10.59045891724343,30.864079179710377,100.26683110191196,30.240513900359474,100.16768671121343,-14.0,-63.0,491.39228854593216,0.007985,-2.160036707168534,0.0,0.0,-1.5899632811303719
54.0,1.1755705045849463,10.618033988749895,1.3009193982430887,10.600149393760425,31.194946497152696,100.06539676890762,30.269560465965075,100.03448064887642,-14.0,-63.0,490.9466039934009,0.006985,-2.162111461854648,0.0,0.0,-1.5878488991885147
55.0,1.1471528727020923,10.638304088577984,1.0196368869310088,10.65388569046339,31.524478306675533,99.86886526991056,32.46204840512162,99.89957932532167,-15.0,-63.0,496.98446251665155,15.986939,-2.1641365603414413,0.0,0.0,-1.5857076083384392
56.0,1.1183858069414936,10.658075145110084,1.026252524457207,10.664040166391239,31.852614450377406,99.67728524701151,32.4916707348454,99.76302406203826,-15.0,-63.0,496.5271084526892,0.006016,-2.1661113823230265,0.0,0.0,-1.5835400644767976
57.0,1.0892780700300542,10.677341135890849,1.0331082569436578,10.674277834948384,32.17929570904392,99.49070431817574,32.520529843404944,99.62485668713198,-15.0,-63.0,496.0610162787427,0.007002,-2.168035322893663,0.0,0.0,-1.5813469315417774
58.0,1.0598385284664098,10.696096192312853,1.0402030058453793,10.684594549764071,32.50446379926537,99.30916905357935,32.54861689099566,99.48511952251289,-15.0,-63.0,495.5863287630385,0.007017,-2.169907792733044,0.0,0.0,-1.5791288813097284
59.0,1.0300761498201083,10.714334601404225,1.0475356200422716,10.694986128629044,32.828061370816684,99.13272495185869,32.57592327430215,99.34385537093176,-15.0,-63.0,495.1031913066335,0.006994,-2.17172821828681,0.0,0.0,-1.5768865931893932
60.0,1.0000000000000002,10.732050807568877,1.0551048747675837,10.705448355888446,33.150032004268674,98.96141641632279,32.60244062913353,99.20110750286923,-15.0,-63.0,494.6117518988775,0.006001,-2.1734960419422356,0.0,0.0,-1.5746207540137973
61.0,0.9696192404926742,10.749239414278792,1.0629094705643198,10.715976984863552,33.470320208798746,98.79528673118013,32.628160832985444,99.05691964328159,-15.0,-63.0,494.1121610720827,0.007006,-2.17521072219903,0.0,0.0,-1.5723320578298665
62.0,0.9389431255717817,10.765895185717854,0.8059795508409477,10.691975828127129,33.78887142016941,98.63437803783113,34.1470075895718,99.74252365533532,-15.686274509803923,-63.529411764705884,501.4111173900567,19.632643,-2.176871733835202,0.0,0.0,-1.5700212056858336
63.0,0.9079809994790937,10.782013048376736,0.7843284665271,10.772648141741016,34.10563199884182,98.47873131127817,34.8556570890871,98.76440104123962,-16.0,-63.0,499.6245754322198,0.859049,-2.178478568067944,0.0,0.0,-1.567688905416502
64.0,0.8767422935781549,10.797588092598334,0.7922067069317444,10.783687135964856,34.420549228192215,98.32838633670613,34.88049172335157,98.61615989986497,-16.0,-63.0,499.1061147695146,0.005013,-2.180030732709473,0.0,0.0,-1.565335871426428
65.0,0.8452365234813989,10.8126155740733,0.8003191911975334,10.794783642526937,34.73357131279816,98.18338168628541,34.904444037084716,98.46665794167893,-16.0,-63.0,498.5799638779699,0.004995,-2.1815277523177947,0.0,0.0,-1.5629628244710942
66.0,0.8134732861516004,10.827090915285202,0.8086644893513082,10.805933223632104,35.04464737676227,98.04375469625035,34.927506693477326,98.31594096047641,-16.0,-63.0,498.04628392233764,0.006988,-2.182969168342333,0.0,0.0,-1.5605704914361336
67.0,0.7814622569785474,10.841009706904881,0.8172410906578351,10.81713142093911,35.35372746204008,97.90954144430555,34.94967262823026,98.16405512222477,-16.0,-63.0,497.50523837358986,0.005989,-2.1843545392643913,0.0,0.0,-1.5581596051146789
68.0,0.7492131868318239,10.854367709133575,0.8260474026707598,10.828373758102856,35.66076252673994,97.7807767274123,34.97093505171827,98.01104695092282,-16.0,-63.0,496.95699295884606,0.006985,-2.185683440732392,0.0,0.0,-1.555730903982902
69.0,0.7167358990906008,10.867160852994404,0.8350817503290262,10.83965574333433,35.965704443362014,97.65749404000763,34.99128745106974,97.85696331435008,-16.0,-63.0,496.40171561060953,0.006001,-2.1869554656918586,0.0,0.0,-1.5532851319738108
70.0,0.6840402866513376,10.879385241571816,0.6414279682053969,10.804989629748349,36.26850599694415,97.53972555270668,36.04045075663696,98.52287537113693,-16.470588235294116,-63.529411764705884,502.2128537544586,20.086512,-2.188170224510101,0.0,0.0,-1.5508230382493777
71.0,0.6511363089143135,10.891037151198633,0.5528503828209859,10.88919916190636,36.569120883082945,97.4275020915397,37.2185648666246,97.5457587491769,-17.0,-63.0,501.8387295965814,12.834658,-2.1893273450955646,0.0,0.0,-1.5483453769710618
