Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Time
35.0,1.6383040885779836,10.147152872702092,1.8287041718032815,10.200539900202212,24.754406181543438,104.67005030594537,24.0,103.5,-12.0,-69.0,21.125046
36.0,1.618033988749895,10.175570504584947,1.8287041718032815,10.200539900202212,25.097928446752622,104.389715675633,24.0,103.5,-12.0,-69.0,21.046914
37.0,1.5972710200945857,10.203630046304097,1.576294956128418,10.259974381060783,25.441364173547903,104.11325842540413,26.0,103.5,-13.0,-69.0,11.593704
38.0,1.5760215072134438,10.231322950651316,1.576294956128418,10.259974381060783,25.78463534683769,103.84074195904645,26.0,103.5,-13.0,-69.0,0.015628
39.0,1.5542919229139418,10.258640782099675,1.576294956128418,10.259974381060783,26.127665018259417,103.57222901614766,26.0,103.5,-13.0,-69.0,0.015619
40.0,1.532088886237956,10.28557521937308,1.576294956128418,10.259974381060783,26.470377294110488,103.30778165736245,26.0,103.5,-13.0,-69.0,0.015634
41.0,1.509419160445544,10.312118057981014,1.576294956128418,10.259974381060783,26.81269732395876,103.04746124888428,26.0,103.5,-13.0,-69.0,0.015624
42.0,1.4862896509547885,10.338261212717716,1.4409598990343255,10.413096035429213,27.154551289919166,102.79132844615005,28.0,102.0,-14.0,-68.0,22.484396
43.0,1.462707403238341,10.363996720124996,1.4409598990343255,10.413096035429213,27.495866396582063,102.53944317680605,28.0,102.0,-14.0,-68.0,0.015706
44.0,1.4386796006773024,10.389316740917995,1.4409598990343255,10.413096035429213,27.83657086157725,102.29186462296636,28.0,102.0,-14.0,-68.0,0.015629
45.0,1.4142135623730951,10.414213562373096,1.4409598990343255,10.413096035429213,28.176593906756246,102.04865120279506,28.0,102.0,-14.0,-68.0,0.0
46.0,1.3893167409179945,10.438679600677302,1.4409598990343255,10.413096035429213,28.515865749974164,101.80986055144622,28.0,102.0,-14.0,-68.0,0.0
47.0,1.363996720124997,10.46270740323834,1.4409598990343255,10.413096035429213,28.854317597451264,101.57554950139573,28.0,102.0,-14.0,-68.0,0.015621
48.0,1.3382612127177165,10.486289650954788,1.1813687845534826,10.458868952864366,29.191881636692965,101.34577406220221,30.0,102.0,-15.0,-68.0,20.921928
49.0,1.3121180579810146,10.509419160445544,1.1813687845534826,10.458868952864366,29.528491029946235,101.12058939973349,30.0,102.0,-15.0,-68.0,0.0
50.0,1.2855752193730787,10.532088886237956,1.2994641327255305,10.562435793600185,29.86407990816859,100.9000498148992,30.0,100.5,-15.0,-67.0,11.953169
51.0,1.258640782099675,10.554291922913942,1.2994641327255305,10.562435793600185,30.198583365485902,100.68420872192817,30.0,100.5,-15.0,-67.0,0.015601
52.0,1.2313229506513166,10.576021507213444,1.2994641327255305,10.562435793600185,30.531937454112832,100.47311862623424,30.0,100.5,-15.0,-67.0,0.0
53.0,1.2036300463040968,10.597271020094585,1.2994641327255305,10.562435793600185,30.864079179710377,100.26683110191196,30.0,100.5,-15.0,-67.0,0.0
54.0,1.1755705045849463,10.618033988749895,1.0347473312445947,10.603179606259975,31.194946497152696,100.06539676890762,32.0,100.5,-16.0,-67.0,15.187525
55.0,1.1471528727020923,10.638304088577984,1.0347473312445947,10.603179606259975,31.524478306675533,99.86886526991056,32.0,100.5,-16.0,-67.0,0.0
