Index,Target Position x,Target Position y,Pred Position x,Pred Position y,Target Angle q1,Target Angle q2,Pred Angle q1,Pred Angle q2,Excursion s1,Excursion s2,Excursion s3,Time
111.0,-0.7167358990906005,10.867160852994404,-0.8822352749552591,10.743279630539504,46.376801516630366,97.65749404000763,47.0,99.0,19.0,58.0,3.0,0.006002
112.0,-0.7492131868318241,10.854367709133575,-0.8822352749552591,10.743279630539504,46.55846074584777,97.7807767274123,47.0,99.0,19.0,58.0,3.0,0.005986
113.0,-0.7814622569785477,10.841009706904881,-0.7969146646050138,10.813561754343452,46.736731093654406,97.9095414443055,46.705882352941174,98.23529411764706,18.941176470588236,57.647058823529406,2.941176470588235,0.008017
114.0,-0.8134732861516005,10.827090915285202,-0.7969146646050138,10.813561754343452,46.91159792698738,98.04375469625036,46.705882352941174,98.23529411764706,18.941176470588236,57.647058823529406,2.941176470588235,0.006985
115.0,-0.8452365234813987,10.8126155740733,-0.7969146646050138,10.813561754343452,47.083047000916416,98.18338168628541,46.705882352941174,98.23529411764706,18.941176470588236,57.647058823529406,2.941176470588235,0.006985
116.0,-0.876742293578155,10.797588092598334,-0.7969146646050138,10.813561754343452,47.251064435101675,98.3283863367061,46.705882352941174,98.23529411764706,18.941176470588236,57.647058823529406,2.941176470588235,0.008017
117.0,-0.9079809994790934,10.782013048376736,-0.7969146646050138,10.813561754343452,47.41563668988001,98.47873131127817,46.705882352941174,98.23529411764706,18.941176470588236,57.647058823529406,2.941176470588235,0.008001
118.0,-0.9389431255717818,10.765895185717854,-0.7969146646050138,10.813561754343452,47.57675054199947,98.63437803783114,46.705882352941174,98.23529411764706,18.941176470588236,57.647058823529406,2.941176470588235,0.007983
119.0,-0.969619240492674,10.749239414278792,-0.7969146646050138,10.813561754343452,47.73439306002112,98.79528673118016,46.705882352941174,98.23529411764706,18.941176470588236,57.647058823529406,2.941176470588235,0.005985
120.0,-0.9999999999999996,10.732050807568877,-0.7969146646050138,10.813561754343452,47.88855157940855,98.96141641632279,46.705882352941174,98.23529411764706,18.941176470588236,57.647058823529406,2.941176470588235,0.009001
121.0,-1.0300761498201085,10.714334601404225,-0.7969146646050138,10.813561754343452,48.03921367732463,99.13272495185868,46.705882352941174,98.23529411764706,18.941176470588236,57.647058823529406,2.941176470588235,0.010986
122.0,-1.0598385284664096,10.696096192312853,-0.7969146646050138,10.813561754343452,48.18636714715528,99.30916905357935,46.705882352941174,98.23529411764706,18.941176470588236,57.647058823529406,2.941176470588235,0.007986
123.0,-1.0892780700300542,10.677341135890849,-1.1440154705370844,10.52265611194981,48.329999972780335,99.49070431817577,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.346032
124.0,-1.1183858069414934,10.658075145110084,-1.1440154705370844,10.52265611194981,48.47010030261108,99.67728524701153,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.006
125.0,-1.1471528727020923,10.638304088577984,-1.1440154705370844,10.52265611194981,48.60665642341391,99.86886526991056,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.007
126.0,-1.175570504584946,10.618033988749895,-1.1440154705370844,10.52265611194981,48.739656733939704,100.06539676890762,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.008017
127.0,-1.2036300463040968,10.597271020094585,-1.1440154705370844,10.52265611194981,48.869089718377666,100.26683110191198,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.019001
128.0,-1.2313229506513166,10.576021507213444,-1.1440154705370844,10.52265611194981,48.994943919652926,100.47311862623427,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.009988
129.0,-1.2586407820996746,10.554291922913942,-1.1440154705370844,10.52265611194981,49.11720791258591,100.68420872192817,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.012001
130.0,-1.2855752193730787,10.532088886237956,-1.1440154705370844,10.52265611194981,49.2358702769322,100.9000498148992,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.008999
131.0,-1.3121180579810143,10.509419160445544,-1.1440154705370844,10.52265611194981,49.35091957032027,101.12058939973349,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.010002
132.0,-1.3382612127177165,10.486289650954788,-1.1440154705370844,10.52265611194981,49.462344301104835,101.34577406220218,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.00899
133.0,-1.3639967201249967,10.46270740323834,-1.1440154705370844,10.52265611194981,49.57013290115299,101.57554950139576,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.006999
134.0,-1.3893167409179947,10.438679600677302,-1.1440154705370844,10.52265611194981,49.67427369857962,101.8098605514462,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.015005
135.0,-1.414213562373095,10.414213562373096,-1.1440154705370844,10.52265611194981,49.77475489044869,102.04865120279506,48.0,101.29411764705881,18.0,56.86274509803921,4.0,0.007001
136.0,-1.4386796006773026,10.389316740917995,-1.3654085175201622,10.55080801933467,49.87156451545642,102.29186462296633,50.0,100.5,16.0,51.0,6.0,0.872063
137.0,-1.462707403238341,10.363996720124996,-1.7263416469617354,10.272915673591907,49.9646904266119,102.53944317680605,51.88235294117647,102.94117647058823,10.941176470588236,41.96078431372549,10.0,0.411035
138.0,-1.4862896509547883,10.338261212717716,-1.7263416469617354,10.272915673591907,50.054120263930805,102.79132844615005,51.88235294117647,102.94117647058823,10.941176470588236,41.96078431372549,10.0,0.006014
139.0,-1.509419160445544,10.312118057981014,-1.7263416469617354,10.272915673591907,50.13984142715696,103.04746124888429,51.88235294117647,102.94117647058823,10.941176470588236,41.96078431372549,10.0,0.006
140.0,-1.5320888862379558,10.28557521937308,-1.7263416469617354,10.272915673591907,50.221841048527075,103.30778165736243,51.88235294117647,102.94117647058823,10.941176470588236,41.96078431372549,10.0,0.007
141.0,-1.5542919229139418,10.258640782099675,-1.7263416469617354,10.272915673591907,50.30010596559293,103.57222901614766,51.88235294117647,102.94117647058823,10.941176470588236,41.96078431372549,10.0,0.007001
142.0,-1.5760215072134438,10.231322950651316,-1.7263416469617354,10.272915673591907,50.37462269411587,103.84074195904644,51.88235294117647,102.94117647058823,10.941176470588236,41.96078431372549,10.0,0.007999
143.0,-1.5972710200945859,10.203630046304097,-1.7263416469617354,10.272915673591907,50.44537740104799,104.11325842540413,51.88235294117647,102.94117647058823,10.941176470588236,41.96078431372549,10.0,0.005997
144.0,-1.6180339887498947,10.175570504584947,-1.7263416469617354,10.272915673591907,50.51235587761437,104.389715675633,51.88235294117647,102.94117647058823,10.941176470588236,41.96078431372549,10.0,0.005977
145.0,-1.6383040885779838,10.147152872702092,-1.6769371666476491,10.064779225134927,50.575543512511196,104.67005030594537,50.58823529411765,105.52941176470588,9.764705882352942,42.745098039215684,10.352941176470589,0.064002
146.0,-1.6580751451100832,10.118385806941493,-1.6769371666476491,10.064779225134927,50.634925265234074,104.95419826226525,50.58823529411765,105.52941176470588,9.764705882352942,42.745098039215684,10.352941176470589,0.005987
147.0,-1.6773411358908479,10.089278070030055,-1.6769371666476491,10.064779225134927,50.6904856395518,105.24209485329408,50.58823529411765,105.52941176470588,9.764705882352942,42.745098039215684,10.352941176470589,0.014002
148.0,-1.696096192312852,10.05983852846641,-1.6769371666476491,10.064779225134927,50.7422086571409,105.53367476270653,50.58823529411765,105.52941176470588,9.764705882352942,42.745098039215684,10.352941176470589,0.006003
149.0,-1.7143346014042244,10.03007614982011,-1.6769371666476491,10.064779225134927,50.79007783139604,105.82887206045491,50.58823529411765,105.52941176470588,9.764705882352942,42.745098039215684,10.352941176470589,0.007014
